# unique_bones 401
操作中心	1 0 -0 0 0 1 -0 0 0 0 1 0 0 0 -0 1
全ての親	1 0 -0 0 0 1 -0 0 0 0 1 0 0 0 -0 1
センター	1 0 -0 0 0 1 0 -7.004 0 0 1 0 0 0 -0 1
グルーブ	1 0 -0 0 0 1 0 -7.1791 0 0 1 0 0 0 -0 1
腰	1 0 -0 0 0 1 0 -10.1835 0 0 1 0.216349 0 0 -0 1
右足IK親	1 0 -0 0.784646 0 1 -0 0 0 0 1 0.269253 0 0 -0 1
右足ＩＫ	1 0 -0 0.784646 0 1 0 -1.11508 0 0 1 0.269253 0 0 -0 1
右つま先ＩＫ	1 0 -0 0.729509 0 1 0 -0.214028 0 0 1 -0.7768 0 0 -0 1
左足IK親	1 0 0 -0.784646 0 1 -0 0 0 0 1 0.269253 0 0 -0 1
左足ＩＫ	1 0 0 -0.784646 0 1 0 -1.11508 0 0 1 0.269253 0 0 -0 1
左つま先ＩＫ	1 0 0 -0.729509 0 1 0 -0.214028 0 0 1 -0.7768 0 0 -0 1
下半身	1 0 0 -2.61783e-16 0 1 0 -10.8175 0 0 1 -0.419147 0 0 -0 1
上半身	1 0 -0 5.55731e-16 0 1 0 -10.8531 0 0 1 -0.41843 0 0 -0 1
上半身1	1 0 -0 8.01093e-16 0 1 0 -11.7019 0 0 1 -0.424072 0 0 -0 1
上半身2	1 0 -0 1.03862e-15 0 1 0 -12.5773 0 0 1 -0.319609 0 0 -0 1
首	1 0 0 -6.46329e-15 0 1 0 -14.2446 0 0 1 0.141492 0 0 -0 1
頭	1 0 0 -6.58435e-15 0 1 0 -14.9464 0 0 1 0.0385448 0 0 -0 1
右肩P	1 0 -0 0.164715 0 1 0 -13.9429 0 0 1 0.15493 0 0 -0 1
右肩	1 0 -0 0.164715 0 1 0 -13.9429 0 0 1 0.15493 0 0 -0 1
右肩C	1 0 -0 1.0673 0 1 0 -13.8063 0 0 1 0.144232 0 0 -0 1
右腕	1 0 -0 1.0673 0 1 0 -13.8063 0 0 1 0.144232 0 0 -0 1
右腕捩	1 0 -0 2.15669 0 1 0 -12.7982 0 0 1 0.159224 0 0 -0 1
右腕捩1	1 0 -0 1.64831 0 1 0 -13.2686 0 0 1 0.152228 0 0 -0 1
右腕捩2	1 0 -0 2.01144 0 1 0 -12.9326 0 0 1 0.157225 0 0 -0 1
右腕捩3	1 0 -0 2.37457 0 1 0 -12.5966 0 0 1 0.162222 0 0 -0 1
右ひじ	1 0 -0 2.88295 0 1 0 -12.1262 0 0 1 0.177096 0 0 -0 1
右手捩	1 0 -0 3.94816 0 1 0 -11.2481 0 0 1 0.175349 0 0 -0 1
右手捩1	1 0 -0 3.45106 0 1 0 -11.6579 0 0 1 0.176164 0 0 -0 1
右手捩2	1 0 -0 3.80613 0 1 0 -11.3652 0 0 1 0.175582 0 0 -0 1
右手捩3	1 0 -0 4.1612 0 1 0 -11.0725 0 0 1 0.174999 0 0 -0 1
右手首	1 0 -0 4.65829 0 1 0 -10.6628 0 0 1 0.174184 0 0 -0 1
右ダミー	1 0 -0 4.81161 0 1 0 -10.223 0 0 1 0.174184 0 0 -0 1
右手先	1 0 -0 4.94443 0 1 0 -10.3507 0 0 1 0.167355 0 0 -0 1
右中指１	1 0 -0 5.27636 0 1 0 -10.1935 0 0 1 0.167715 0 0 -0 1
右中指２	1 0 -0 5.56113 0 1 0 -9.87049 0 0 1 0.163928 0 0 -0 1
右中指３	1 0 -0 5.74593 0 1 0 -9.68828 0 0 1 0.161103 0 0 -0 1
右人指１	1 0 -0 5.25522 0 1 0 -10.1604 0 0 1 -0.0372731 0 0 -0 1
右人指２	1 0 -0 5.5086 0 1 0 -9.87613 0 0 1 -0.0494935 0 0 -0 1
右人指３	1 0 -0 5.64908 0 1 0 -9.71642 0 0 1 -0.051616 0 0 -0 1
右親指０	1 0 -0 4.69044 0 1 0 -10.5038 0 0 1 -0.0760302 0 0 -0 1
右親指１	1 0 -0 4.87099 0 1 0 -10.2112 0 0 1 -0.231515 0 0 -0 1
右親指２	1 0 -0 4.9982 0 1 0 -9.96291 0 0 1 -0.327072 0 0 -0 1
右薬指１	1 0 -0 5.2247 0 1 0 -10.1793 0 0 1 0.344104 0 0 -0 1
右薬指２	1 0 -0 5.47412 0 1 0 -9.88178 0 0 1 0.362141 0 0 -0 1
右薬指３	1 0 -0 5.66724 0 1 0 -9.67599 0 0 1 0.364837 0 0 -0 1
右小指１	1 0 -0 5.10788 0 1 0 -10.1462 0 0 1 0.499959 0 0 -0 1
右小指２	1 0 -0 5.34223 0 1 0 -9.89317 0 0 1 0.539601 0 0 -0 1
右小指３	1 0 -0 5.48885 0 1 0 -9.74427 0 0 1 0.556063 0 0 -0 1
左肩P	1 0 0 -0.164715 0 1 0 -13.9429 0 0 1 0.15493 0 0 -0 1
左肩	1 0 0 -0.164715 0 1 0 -13.9429 0 0 1 0.15493 0 0 -0 1
左肩C	1 0 0 -1.0673 0 1 0 -13.8063 0 0 1 0.144232 0 0 -0 1
左腕	1 0 0 -1.0673 0 1 0 -13.8063 0 0 1 0.144232 0 0 -0 1
左腕捩	1 0 0 -2.15669 0 1 0 -12.7982 0 0 1 0.159655 0 0 -0 1
左腕捩1	1 0 0 -1.64831 0 1 0 -13.2686 0 0 1 0.152458 0 0 -0 1
左腕捩2	1 0 0 -2.01144 0 1 0 -12.9326 0 0 1 0.157599 0 0 -0 1
左腕捩3	1 0 0 -2.37457 0 1 0 -12.5966 0 0 1 0.16274 0 0 -0 1
左ひじ	1 0 0 -2.88295 0 1 0 -12.1262 0 0 1 0.177096 0 0 -0 1
左手捩	1 0 0 -3.94816 0 1 0 -11.2481 0 0 1 0.175349 0 0 -0 1
左手捩1	1 0 0 -3.45106 0 1 0 -11.6579 0 0 1 0.176164 0 0 -0 1
左手捩2	1 0 0 -3.80613 0 1 0 -11.3652 0 0 1 0.175582 0 0 -0 1
左手捩3	1 0 0 -4.1612 0 1 0 -11.0725 0 0 1 0.174999 0 0 -0 1
左手首	1 0 0 -4.65829 0 1 0 -10.6628 0 0 1 0.174184 0 0 -0 1
左ダミー	1 0 0 -4.81161 0 1 0 -10.223 0 0 1 0.174184 0 0 -0 1
左手先	1 0 0 -4.94443 0 1 0 -10.3507 0 0 1 0.167355 0 0 -0 1
左中指１	1 0 0 -5.27636 0 1 0 -10.1935 0 0 1 0.167715 0 0 -0 1
左中指２	1 0 0 -5.56113 0 1 0 -9.87049 0 0 1 0.163928 0 0 -0 1
左中指３	1 0 0 -5.74593 0 1 0 -9.68828 0 0 1 0.161103 0 0 -0 1
左人指１	1 0 0 -5.25522 0 1 0 -10.1604 0 0 1 -0.0372732 0 0 -0 1
左人指２	1 0 0 -5.5086 0 1 0 -9.87613 0 0 1 -0.0494935 0 0 -0 1
左人指３	1 0 0 -5.64908 0 1 0 -9.71642 0 0 1 -0.0516159 0 0 -0 1
左親指０	1 0 0 -4.69044 0 1 0 -10.5038 0 0 1 -0.0760302 0 0 -0 1
左親指１	1 0 0 -4.87099 0 1 0 -10.2112 0 0 1 -0.231515 0 0 -0 1
左親指２	1 0 0 -4.9982 0 1 0 -9.96291 0 0 1 -0.327072 0 0 -0 1
左薬指１	1 0 0 -5.2247 0 1 0 -10.1793 0 0 1 0.344104 0 0 -0 1
左薬指２	1 0 0 -5.47412 0 1 0 -9.88178 0 0 1 0.362141 0 0 -0 1
左薬指３	1 0 0 -5.66724 0 1 0 -9.67599 0 0 1 0.364837 0 0 -0 1
左小指１	1 0 0 -5.10788 0 1 0 -10.1462 0 0 1 0.499959 0 0 -0 1
左小指２	1 0 0 -5.34223 0 1 0 -9.89317 0 0 1 0.539601 0 0 -0 1
左小指３	1 0 0 -5.48886 0 1 0 -9.74427 0 0 1 0.556063 0 0 -0 1
腰キャンセル右	1 0 -0 0.739271 0 1 0 -9.76079 0 0 1 -0.216671 0 0 -0 1
右足	1 0 -0 0.739271 0 1 0 -9.76079 0 0 1 -0.216671 0 0 -0 1
右ひざ	1 0 -0 0.762768 0 1 0 -5.65968 0 0 1 -0.0510647 0 0 -0 1
右足首	1 0 -0 0.784646 0 1 0 -1.11508 0 0 1 0.269253 0 0 -0 1
右つま先	1 0 -0 0.729509 0 1 0 -0.214027 0 0 1 -0.7768 0 0 -0 1
腰キャンセル左	1 0 0 -0.739271 0 1 0 -9.76079 0 0 1 -0.216671 0 0 -0 1
左足	1 0 0 -0.739271 0 1 0 -9.76079 0 0 1 -0.216671 0 0 -0 1
左ひざ	1 0 0 -0.762768 0 1 0 -5.65968 0 0 1 -0.0510647 0 0 -0 1
左足首	1 0 0 -0.784646 0 1 0 -1.11508 0 0 1 0.269253 0 0 -0 1
左つま先	1 0 0 -0.729509 0 1 0 -0.214027 0 0 1 -0.7768 0 0 -0 1
右目	1 0 -0 0.317826 0 1 0 -15.6057 0 0 1 -0.468069 0 0 -0 1
右目先	1 0 -0 0.469136 0 1 0 -15.5951 0 0 1 -0.775664 0 0 -0 1
左目	1 0 0 -0.317826 0 1 0 -15.6057 0 0 1 -0.468069 0 0 -0 1
左目先	1 0 0 -0.469136 0 1 0 -15.5951 0 0 1 -0.775664 0 0 -0 1
両目	1 0 -0 0 0 1 0 -17.8786 0 0 1 -0.416261 0 0 -0 1
両目先	1 0 -0 6.05455e-06 0 1 0 -17.8775 0 0 1 -1.11808 0 0 -0 1
右胸	1 0 -0 0.579078 0 1 0 -12.9352 0 0 1 -0.212226 0 0 -0 1
右胸１	1 0 -0 0.579078 0 1 0 -12.9352 0 0 1 -0.665671 0 0 -0 1
左胸	1 0 0 -0.579078 0 1 0 -12.9352 0 0 1 -0.212226 0 0 -0 1
左胸１	1 0 0 -0.579078 0 1 0 -12.9352 0 0 1 -0.665671 0 0 -0 1
tongue_01	1 0 0 -3.89445e-15 0 1 0 -15.0124 0 0 1 -0.615465 0 0 -0 1
tongue_02	1 0 0 -2.95665e-15 0 1 0 -15.0139 0 0 1 -0.677159 0 0 -0 1
tongue_03	1 0 0 -2.01884e-15 0 1 0 -15.0153 0 0 1 -0.738853 0 0 -0 1
tongue_04	1 0 0 -1.08103e-15 0 1 0 -15.0168 0 0 1 -0.800548 0 0 -0 1
DownTeeth	1 0 0 -3.86014e-15 0 1 0 -14.9786 0 0 1 -0.78653 0 0 -0 1
UpTeeth	1 0 0 -3.87304e-15 0 1 0 -15.0501 0 0 1 -0.783386 0 0 -0 1
左親指先	1 0 0 -5.1085 0 1 0 -9.76577 0 0 1 -0.378572 0 0 -0 1
左人差指先	1 0 0 -5.81632 0 1 0 -9.55807 0 0 1 -0.0516159 0 0 -0 1
左中指先	1 0 0 -5.92633 0 1 0 -9.54511 0 0 1 0.161103 0 0 -0 1
